,adventurer,knight,mage,druid,hunter,monk,viking,prophet,vampire,cultist,champion,darkmage,chef,leper,master
adventurer,50,45,45,45,75,25,40,85,45,50,25,45,60,10,65
knight,50,50,50,40,80,35,70,85,38,60,70,55,55,5,57
mage,48,50,50,33,55,35,55,45,65,60,85,50,48,25,55
druid,40,35,43,50,65,25,55,80,50,50,45,50,48,40,70
hunter,35,25,50,30,50,40,45,30,65,45,55,40,65,35,30
monk,85,80,55,65,75,50,70,75,85,60,40,60,70,50,55
viking,50,20,40,55,20,30,50,45,50,60,55,35,55,20,57
prophet,45,40,60,30,60,30,35,50,55,45,55,50,35,15,53
vampire,53,75,50,35,50,25,60,60,50,25,70,20,55,25,60
cultist,50,50,25,53,50,25,50,50,65,50,25,45,45,30,60
champion,60,35,25,50,65,25,65,60,50,85,50,45,75,10,45
darkmage,60,65,50,63,60,45,70,35,55,55,35,50,70,40,20
chef,50,40,50,30,30,35,65,40,25,50,20,45,50,10,60
leper,65,100,50,65,70,50,85,90,57,60,85,50,90,50,95
master,30,25,50,33,75,25,45,60,25,50,40,55,45,0,50
