,adventurer,knight,mage,druid,hunter,monk,viking,prophet,vampire,cultist,champion,darkmage,chef,leper,master
adventurer,50,35,63,75,50,50,30,60,50,57,55,68,48,33,57
knight,68,50,60,75,50,75,75,50,53,68,75,50,53,40,53
mage,38,38,50,23,48,45,45,43,55,38,48,40,43,48,33
druid,25,25,75,50,53,45,30,50,25,35,40,68,25,25,70
hunter,48,50,48,50,50,48,50,53,45,28,50,45,50,50,55
monk,40,25,43,55,50,50,30,38,33,53,35,50,35,35,50
viking,65,35,50,73,50,75,50,50,55,55,70,50,50,53,50
prophet,35,50,75,40,60,68,50,50,40,60,65,38,38,38,45
vampire,50,50,60,45,50,60,48,73,50,73,55,55,50,50,65
cultist,30,33,80,53,48,68,48,23,28,50,63,63,30,35,65
champion,45,25,43,55,50,60,25,38,38,50,50,45,35,33,57
darkmage,28,50,57,30,60,48,50,65,40,38,60,50,33,45,57
chef,60,50,65,73,53,60,50,65,50,60,68,68,50,45,65
leper,63,50,60,78,50,68,50,57,55,60,73,60,53,50,60
master,40,48,63,48,45,48,50,35,33,60,48,35,30,40,50
