,adventurer,knight,mage,druid,hunter,monk,viking,prophet,vampire,cultist,champion,darkmage,chef,leper,master
adventurer,50,40,50,85,50,45,50,80,55,40,48,30,30,63,78
knight,78,50,78,73,60,50,53,100,40,45,33,60,30,85,63
mage,33,35,50,28,50,73,40,23,65,35,60,55,43,40,50
druid,30,30,60,50,60,40,35,50,78,40,35,53,35,35,68
hunter,50,45,55,65,50,50,60,45,60,50,45,45,35,90,35
monk,57,53,33,57,45,50,40,50,38,40,25,25,35,50,43
viking,33,55,40,73,15,57,50,55,45,50,45,35,18,78,55
prophet,30,25,90,53,50,50,35,50,38,50,50,50,35,25,28
vampire,75,83,60,57,30,68,60,55,50,30,35,30,45,57,75
cultist,50,50,50,53,55,75,50,45,65,50,45,45,50,55,65
champion,55,78,53,57,50,63,50,50,48,65,50,40,55,70,60
darkmage,70,55,55,80,60,65,65,45,70,50,35,50,75,60,30
chef,70,43,55,55,65,53,55,60,63,45,48,55,50,57,65
leper,28,10,60,63,20,53,18,60,35,50,43,20,38,50,60
master,30,33,80,38,70,60,45,65,35,60,50,60,40,38,50
